Designator,Mid X,Mid Y,Layer,Rotation
C1,15.070000,-78.050000,top,-90.000000
C2,14.580000,-83.910000,top,90.000000
C3,8.280000,-10.010000,top,0.000000
C4,20.400000,-77.670000,top,180.000000
C5,17.710000,-74.540000,top,-90.000000
C6,8.280000,-27.540000,top,0.000000
C7,23.840000,-102.080000,top,0.000000
C8,8.260000,-44.890000,top,0.000000
C9,12.940000,-58.610000,top,90.000000
C10,7.660000,-62.670000,top,0.000000
C11,7.230000,-78.480000,top,0.000000
C12,18.930000,-47.330000,top,180.000000
C13,26.480000,-28.540000,top,180.000000
C14,7.840000,-39.400000,top,90.000000
C15,20.250000,-59.810000,top,180.000000
C16,22.580000,-20.330000,top,0.000000
C17,54.800000,-64.320000,top,0.000000
C19,23.180000,-42.340000,top,0.000000
C20,27.920000,-80.730000,top,90.000000
D1,14.100000,-74.570000,top,180.000000
D2,14.620000,-87.430000,top,270.000000
D3,8.380000,-12.600000,top,0.000000
D4,8.590000,-30.190000,top,0.000000
D5,21.700000,-97.460000,top,90.000000
D6,9.160000,-47.460000,top,0.000000
D7,10.240000,-58.630000,top,90.000000
D8,9.390000,-65.390000,top,0.000000
D9,8.960000,-82.270000,top,0.000000
D10,24.860000,-12.830000,top,180.000000
D11,18.040000,-23.940000,top,0.000000
G***,28.320000,-53.960000,top,0.000000
IC1,50.090000,-62.420000,top,180.000000
IC2,32.950000,-79.490000,top,90.000000
IC3,32.560000,-5.970000,top,90.000000
J1,20.830000,-89.230000,top,0.000000
J2,26.290000,-2.420000,top,-90.000000
J3,18.010000,-11.120000,top,0.000000
Q1,15.400000,-101.540000,top,90.000000
Q2,32.090000,-92.100000,top,90.000000
Q3,18.990000,-104.230000,top,270.000000
Q4,32.770000,-105.270000,top,90.000000
R1,40.390000,-3.890000,top,0.000000
R2,42.990000,-3.070000,top,-90.000000
R3,48.470000,-9.660000,top,-90.000000
R4,46.030000,-8.720000,top,90.000000
R5,18.060000,-97.140000,top,90.000000
R6,46.070000,-22.350000,top,90.000000
R7,2.820000,-89.180000,top,-90.000000
R8,42.930000,-20.270000,top,90.000000
R9,35.710000,-93.530000,top,0.000000
R10,5.720000,-12.570000,top,90.000000
R11,35.590000,-88.490000,top,0.000000
R12,46.110000,-35.000000,top,90.000000
R13,15.940000,-93.140000,top,180.000000
R14,42.910000,-32.630000,top,90.000000
R15,46.140000,-46.990000,top,90.000000
R16,12.710000,-69.660000,top,-90.000000
R17,42.860000,-40.460000,top,-90.000000
R18,16.240000,-108.470000,top,180.000000
R19,44.400000,-59.880000,top,90.000000
R20,42.900000,-52.850000,top,-90.000000
R21,6.100000,-30.320000,top,90.000000
R22,21.790000,-100.310000,top,180.000000
R23,46.140000,-71.880000,top,90.000000
R24,36.220000,-106.400000,top,0.000000
R25,42.890000,-65.190000,top,-90.000000
R26,35.680000,-101.380000,top,0.000000
R27,15.020000,-105.800000,top,90.000000
R28,46.180000,-84.210000,top,90.000000
R29,42.880000,-77.530000,top,-90.000000
R30,35.510000,-50.000000,top,180.000000
R31,46.110000,-96.520000,top,90.000000
R32,42.840000,-89.870000,top,-90.000000
R33,6.470000,-47.500000,top,90.000000
R34,46.070000,-107.770000,top,90.000000
R35,41.830000,-106.140000,top,0.000000
R36,34.670000,-11.370000,top,180.000000
R37,32.560000,-59.660000,top,180.000000
R38,6.840000,-65.790000,top,90.000000
R39,37.470000,-74.930000,top,180.000000
R40,26.390000,-4.900000,top,180.000000
R41,6.390000,-81.000000,top,90.000000
R42,28.300000,-16.650000,top,-90.000000
TRIM1,41.470000,-12.670000,top,0.000000
U1,19.190000,-66.730000,top,0.000000
VR1,18.640000,-32.020000,top,-90.000000
VR2,18.870000,-41.100000,top,90.000000
Y1,20.490000,-74.500000,top,90.000000